Obj_name,PGC,EGIPS,RAJ2000,DEJ2000,Coord,max_prob
Obj_9108,1857921,EGIPS J125935.1+291017,194.8966146,29.1713935,J125935.19+291017.0,0.99
Obj_2118,       ,EGIPS J024455.1+041209,41.2296055,4.2027611,J024455.11+041209.9,0.99
Obj_1034,1629904,EGIPS J011514.2+203154,18.8093139,20.5317298,J011514.24+203154.2,0.99
Obj_2680,1497325,EGIPS J033741.9+155726,54.4247036,15.957314,J033741.93+155726.3,0.99
Obj_2470,92012,EGIPS J031601.4-243600,49.0062461,-24.6002594,J031601.50-243600.9,0.99
Obj_7191,91081,EGIPS J110525.9-100333,166.35794,-10.0592578,J110525.91-100333.3,0.99
Obj_1591,1003672,EGIPS J020133.3-082633,30.3888482,-8.4426744,J020133.32-082633.6,0.98
Obj_1175,998982,EGIPS J012539.2-084810,21.4137108,-8.8029844,J012539.29-084810.7,0.98
Obj_15185,68637,EGIPS J222131.0-251845,335.3794929,-25.3125036,J222131.08-251845.0,0.98
Obj_9583,1999316,EGIPS J132853.4+322919,202.2228155,32.4887892,J132853.48+322919.6,0.98
Obj_14585,91707,EGIPS J212430.4+074901,321.1267587,7.8172015,J212430.42+074901.9,0.98
Obj_6678,1071216,EGIPS J103350.1-032637,158.4590982,-3.443781,J103350.18-032637.6,0.98
Obj_10080,3440588,EGIPS J140300.9+051603,210.7540125,5.2676268,J140300.96+051603.5,0.98
Obj_1540,1307096,EGIPS J015722.3+064606,29.3431589,6.7683526,J015722.36+064606.1,0.98
Obj_1718,963758,EGIPS J021253.5-113641,33.2231019,-11.6116151,J021253.54-113641.8,0.98
Obj_845,1031639,EGIPS J010250.1-063233,15.7088551,-6.5427226,J010250.13-063233.8,0.98
Obj_8823,91222,EGIPS J124254.0-002953,190.7253652,-0.49818,J124254.09-002953.4,0.98
Obj_5076,24204,EGIPS J083636.1+250813,129.1508189,25.1371174,J083636.20+250813.6,0.98
Obj_398,1892884,EGIPS J003115.0+300957,7.8128327,30.1660045,J003115.08+300957.6,0.98
Obj_4721,90824,EGIPS J081116.9+723502,122.8204789,72.5841117,J081116.91+723502.8,0.98
