Obj_name,PGC,EGIPS,RAJ2000,DEJ2000,Coord,max_prob
Obj_7292,2391294,EGIPS J111120.7+511607,167.8365977,51.2686664,J111120.78+511607.2,0.99
Obj_10395,1305425,EGIPS J142408.9+064043,216.0370909,6.6786267,J142408.90+064043.1,0.99
Obj_9803,2562187,EGIPS J134437.2+571729,206.1550395,57.2914978,J134437.21+571729.4,0.99
Obj_1956,88000,EGIPS J023147.1-295202,37.9465224,-29.8673093,J023147.17-295202.3,0.99
Obj_8456,1153797,EGIPS J122039.7-000133,185.1654523,-0.0258463,J122039.71-000133.0,0.99
Obj_1500,1134512,EGIPS J015427.4-004744,28.6142697,-0.7957254,J015427.42-004744.6,0.99
Obj_12912,2743708,EGIPS J172843.2+713027,262.1801374,71.5076755,J172843.23+713027.6,0.99
Obj_7746,2317691,EGIPS J113554.5+482652,173.9771766,48.4480344,J113554.52+482652.9,0.99
Obj_11077,1253778,EGIPS J151127.8+033101,227.8661187,3.5169576,J151127.87+033101.0,0.99
Obj_16400,5072528,EGIPS J235711.3+294221,359.2971,29.7059725,J235711.30+294221.5,0.99
Obj_7893,36605,EGIPS J114500.2+072954,176.2508721,7.4984486,J114500.21+072954.4,0.99
Obj_8320,1652054,EGIPS J121152.7+213212,182.9699545,21.5367621,J121152.79+213212.3,0.99
Obj_1272,943252,EGIPS J013353.9-130447,23.4747389,-13.0799113,J013353.94-130447.7,0.99
Obj_1891,953656,EGIPS J022651.1-122252,36.7130414,-12.3812981,J022651.13-122252.7,0.99
Obj_91,1722411,EGIPS J000654.6+245953,1.7275089,24.9981971,J000654.60+245953.5,0.99
Obj_11387,91462,EGIPS J153653.4+511718,234.2226811,51.2885762,J153653.44+511718.9,0.99
Obj_6740,91037,EGIPS J103847.5+290650,159.6981832,29.1141163,J103847.56+290650.8,0.99
Obj_9110,44630,EGIPS J125935.9-234425,194.899939,-23.7403892,J125935.99-234425.4,0.99
Obj_2025,1148822,EGIPS J023703.7-001316,39.2657968,-0.2212808,J023703.79-001316.6,0.99
Obj_14652,834066,EGIPS J213300.7-205955,323.2529234,-20.9986663,J213300.70-205955.2,0.99
Obj_2360,1330800,EGIPS J030450.7+074702,46.2114361,7.7839668,J030450.74+074702.3,0.99
Obj_10276,4407628,EGIPS J141432.0+171359,213.6336967,17.2331078,J141432.09+171359.2,0.99
Obj_9826,3813296,EGIPS J134607.6+175833,206.5318892,17.9759582,J134607.65+175833.4,0.99
Obj_8373,91185,EGIPS J121520.1-002352,183.8339837,-0.3979915,J121520.16-002352.8,0.99
Obj_5241,213536,EGIPS J084918.6+414553,132.327687,41.7648418,J084918.64+414553.4,0.99
Obj_9248,91256,EGIPS J130726.3-064223,196.8599194,-6.706653,J130726.38-064224.0,0.99
Obj_2618,4666503,EGIPS J033015.1+363333,52.563061,36.5593399,J033015.13+363333.6,0.99
Obj_9781,1170507,EGIPS J134314.8+003627,205.8120306,0.6075246,J134314.89+003627.1,0.99
Obj_9301,1102515,EGIPS J131027.6-020414,197.6150083,-2.0707925,J131027.60-020414.9,0.99
Obj_11031,3491067,EGIPS J150704.6+421101,226.7693988,42.1836577,J150704.66+421101.2,0.99
Obj_813,1396244,EGIPS J010020.2+113704,15.0843992,11.6178246,J010020.26+113704.2,0.99
Obj_14784,4667627,EGIPS J214844.4+340812,327.1852282,34.136762,J214844.45+340812.3,0.99
Obj_11247,214379,EGIPS J152536.3+204643,231.4013409,20.778616,J152536.32+204643.0,0.99
Obj_333,       ,EGIPS J002514.1+100405,6.3087725,10.0681578,J002514.11+100405.4,0.99
Obj_2762,934159,EGIPS J034726.4-134317,56.8601652,-13.7214045,J034726.44-134317.1,0.99
Obj_15237,1399795,EGIPS J222638.9+115111,336.6621359,11.853268,J222638.91+115111.8,0.99
Obj_12828,2150756,EGIPS J171945.4+392937,259.9393704,39.4937051,J171945.45+392937.3,0.99
Obj_159,91861,EGIPS J001238.9-250443,3.162497,-25.0787371,J001239.00-250443.5,0.99
Obj_3361,142813,EGIPS J051646.0+043713,79.1919729,4.6203516,J051646.07+043713.3,0.99
Obj_10639,84259,EGIPS J143942.7+463701,219.9283129,46.6170502,J143942.80+463701.4,0.99
Obj_7728,2294911,EGIPS J113507.1+471450,173.7799602,47.2472236,J113507.19+471450.0,0.99
Obj_16202,1798333,EGIPS J234249.8+270713,355.7075013,27.1204422,J234249.80+270713.6,0.99
Obj_12303,1841718,EGIPS J163709.0+283833,249.2875081,28.6427222,J163709.00+283833.8,0.99
Obj_6587,91015,EGIPS J102809.9+090045,157.041527,9.0127669,J102809.97+090046.0,0.99
Obj_8333,38913,EGIPS J121231.2+400058,183.1302582,40.0162256,J121231.26+400058.4,0.99
Obj_7306,91092,EGIPS J111222.6-175608,168.0941745,-17.9356498,J111222.60-175608.3,0.99
Obj_3771,19432,EGIPS J064127.9+401054,100.3663519,40.1816751,J064127.92+401054.0,0.99
Obj_10251,1201967,EGIPS J141318.9+013951,213.3288841,1.6643719,J141318.93+013951.7,0.99
Obj_12957,91601,EGIPS J173312.1+502230,263.3004517,50.375007,J173312.11+502230.0,0.99
