Obj_name,PGC,EGIPS,RAJ2000,DEJ2000,Coord,max_prob
Obj_7622,91124,EGIPS J112937.0-132948,172.4042162,-13.4968101,J112937.01-132948.5,0.84
Obj_5318,1325298,EGIPS J085536.1+073425,133.9006506,7.573881,J085536.16+073426.0,0.84
Obj_4534,22297,EGIPS J075717.6+312812,119.3236049,31.4701258,J075717.67+312812.5,0.84
Obj_5492,5072298,EGIPS J091056.5+642523,137.7354722,64.4231181,J091056.51+642523.2,0.84
Obj_8945,2378806,EGIPS J125030.0+503854,192.625364,50.6486019,J125030.09+503855.0,0.84
Obj_3965,1419789,EGIPS J070526.1+125739,106.3591442,12.9608932,J070526.19+125739.2,0.84
Obj_270,1368,EGIPS J002127.0-041352,5.3626148,-4.2311483,J002127.03-041352.1,0.84
Obj_10032,3817456,EGIPS J140000.2-243751,210.0009863,-24.6310996,J140000.24-243752.0,0.84
Obj_9267,100335,EGIPS J130826.9+340419,197.1123685,34.0719533,J130826.97+340419.0,0.84
Obj_5511,90900,EGIPS J091232.5+175842,138.1356214,17.9783671,J091232.55+175842.1,0.84
Obj_12602,1681271,EGIPS J170017.7+230524,255.0739408,23.0901034,J170017.75+230524.4,0.84
Obj_1721,1040585,EGIPS J021255.9-054620,33.2330887,-5.7722431,J021255.94-054620.1,0.84
Obj_9253,1040720,EGIPS J130744.7-054540,196.936296,-5.7612602,J130744.71-054540.5,0.84
Obj_5519,3739354,EGIPS J091309.0+430744,138.2878152,43.1291425,J091309.08+430744.9,0.84
Obj_14417,926204,EGIPS J210333.5-141845,315.8899365,-14.3125883,J210333.58-141845.3,0.84
Obj_9883,1531601,EGIPS J134926.8+172324,207.3619562,17.3901583,J134926.87+172324.6,0.84
Obj_7500,91109,EGIPS J112155.8+043213,170.4826237,4.5371278,J112155.83+043213.7,0.84
Obj_2994,92072,EGIPS J042652.3-182437,66.7181187,-18.4104693,J042652.35-182437.7,0.84
Obj_12342,1354657,EGIPS J164002.7+085023,250.0113847,8.8399547,J164002.73+085023.8,0.84
Obj_7778,1423628,EGIPS J113823.3+130756,174.597461,13.1322998,J113823.39+130756.3,0.84
Obj_13722,       ,EGIPS J191751.6+393242,289.4653622,39.5450758,J191751.69+393242.3,0.84
Obj_2604,12946,EGIPS J032846.5+363323,52.1940395,36.5564327,J032846.57+363323.2,0.84
Obj_5746,2577638,EGIPS J092902.4+582100,142.260037,58.3501253,J092902.41+582100.5,0.84
Obj_425,1065616,EGIPS J003327.3-035314,8.3639697,-3.8872277,J003327.35-035314.0,0.84
Obj_522,1283330,EGIPS J003916.1+052551,9.817271,5.4309559,J003916.15+052551.4,0.84
Obj_3945,1821026,EGIPS J070357.6+275408,105.9902403,27.9023077,J070357.66+275408.3,0.84
Obj_12358,4007156,EGIPS J164135.4+213109,250.3976109,21.5194389,J164135.43+213110.0,0.84
Obj_671,967091,EGIPS J004956.1-111952,12.4839948,-11.3312547,J004956.16-111952.5,0.84
Obj_10104,1043445,EGIPS J140432.5-053213,211.1355486,-5.5370817,J140432.53-053213.5,0.84
Obj_11621,91489,EGIPS J155443.4+043100,238.6811369,4.516929,J155443.47+043100.9,0.84
Obj_13782,2389801,EGIPS J192940.4+511058,292.4186124,51.1829152,J192940.47+511058.5,0.84
Obj_122,4011966,EGIPS J000924.1+003216,2.3506346,0.5379514,J000924.15+003216.6,0.84
Obj_9233,835925,EGIPS J130611.2-205158,196.5470576,-20.8663288,J130611.29-205158.8,0.84
Obj_8987,43733,EGIPS J125255.9+111351,193.2332461,11.2310537,J125255.98+111351.8,0.84
Obj_7251,1856677,EGIPS J110905.2+290755,167.2720535,29.1320305,J110905.29+290755.3,0.84
Obj_15396,69401,EGIPS J223844.8+353226,339.6867735,35.5405807,J223844.83+353226.1,0.84
Obj_4969,1309334,EGIPS J082818.4+065251,127.0769014,6.8811103,J082818.46+065252.0,0.84
Obj_6098,90965,EGIPS J095552.1-143146,148.9671384,-14.5295429,J095552.11-143146.4,0.84
Obj_12582,2383164,EGIPS J165850.5+505014,254.7106121,50.8373751,J165850.55+505014.6,0.84
Obj_16241,       ,EGIPS J234627.7+472209,356.6154941,47.3694078,J234627.72+472209.9,0.84
Obj_5165,1527619,EGIPS J084259.8+171326,130.7491923,17.2240584,J084259.81+171326.6,0.84
Obj_1069,212704,EGIPS J011857.1+441424,19.7379601,44.2400454,J011857.11+441424.2,0.84
Obj_1160,5218,EGIPS J012445.8+095939,21.1908347,9.9944194,J012445.80+095939.9,0.84
Obj_12136,       ,EGIPS J162540.2+804916,246.417769,80.8211216,J162540.26+804916.0,0.84
Obj_11577,1138019,EGIPS J155124.3-003906,237.8515794,-0.6519246,J155124.38-003906.9,0.84
Obj_13084,91608,EGIPS J174735.8+360429,266.899421,36.0749542,J174735.86+360429.8,0.84
Obj_4386,78380,EGIPS J074651.6-104218,116.7151405,-10.7052583,J074651.63-104218.9,0.83
Obj_322,1818023,EGIPS J002421.5+274720,6.0896641,27.7890592,J002421.52+274720.6,0.83
Obj_4594,22482,EGIPS J080101.9+590822,120.258112,59.1396983,J080101.95+590822.9,0.83
Obj_7267,3261321,EGIPS J111002.9-063021,167.5122056,-6.5060661,J111002.93-063021.8,0.83
Obj_5158,81951,EGIPS J084243.0-274542,130.6793153,-27.7619048,J084243.04-274542.9,0.83
Obj_960,3610945,EGIPS J010938.6+363045,17.4112085,36.5127102,J010938.69+363045.8,0.83
Obj_13576,1879737,EGIPS J185016.9+294948,282.5706242,29.8301142,J185016.95+294948.4,0.83
Obj_5699,1004019,EGIPS J092441.5-082455,141.173127,-8.4155434,J092441.55-082456.0,0.83
Obj_10071,50017,EGIPS J140238.3+183122,210.6596642,18.5230384,J140238.32+183122.9,0.83
Obj_10387,2408016,EGIPS J142335.1+520917,215.896569,52.1549915,J142335.18+520918.0,0.83
Obj_2020,9904,EGIPS J023631.6+071834,39.1319287,7.3095578,J023631.66+071834.4,0.83
Obj_4197,1669551,EGIPS J072525.0+222514,111.3542014,22.4205631,J072525.01+222514.0,0.83
Obj_9314,1393096,EGIPS J131114.5+112417,197.8106299,11.4048352,J131114.55+112417.4,0.83
Obj_5496,2129267,EGIPS J091115.5+383058,137.814593,38.5162506,J091115.50+383058.5,0.83
Obj_10091,2044359,EGIPS J140338.4+340752,210.9101563,34.1311485,J140338.44+340752.1,0.83
Obj_15141,1069382,EGIPS J221735.2-033501,334.3967943,-3.5836436,J221735.23-033501.1,0.83
Obj_6507,139305,EGIPS J102219.4+130322,155.5809416,13.0563544,J102219.43+130322.9,0.83
Obj_8782,799468,EGIPS J124029.0-233414,190.1209233,-23.5707324,J124029.02-233414.6,0.83
Obj_1153,1026751,EGIPS J012427.4-065603,21.1145063,-6.9341914,J012427.48-065603.1,0.83
Obj_5822,90930,EGIPS J093550.1+225527,143.9588333,22.9242228,J093550.12+225527.2,0.83
