Obj_name,PGC,EGIPS,RAJ2000,DEJ2000,Coord,max_prob
Obj_12218,91538,EGIPS J163057.3+553033,247.7391313,55.5091741,J163057.39+553033.0,0.84
Obj_9996,49683,EGIPS J135758.8+070940,209.4951932,7.1612338,J135758.85+070940.4,0.84
Obj_2730,1059943,EGIPS J034405.6-041850,56.0234214,-4.3139229,J034405.62-041850.1,0.84
Obj_7213,976458,EGIPS J110650.7-103449,166.7114043,-10.5804452,J110650.74-103449.6,0.84
Obj_4203,       ,EGIPS J072610.3+225130,111.5429732,22.8584973,J072610.31+225130.6,0.84
Obj_9672,922221,EGIPS J133454.6-143721,203.727708,-14.6227627,J133454.65-143721.9,0.84
Obj_14911,961828,EGIPS J215921.2-114650,329.8385838,-11.7806163,J215921.26-114650.2,0.84
Obj_1453,1052741,EGIPS J015020.9-045034,27.5874545,-4.8428786,J015020.99-045034.4,0.84
Obj_2813,993120,EGIPS J035443.8-091613,58.682542,-9.2705134,J035443.81-091613.8,0.84
Obj_768,1891795,EGIPS J005646.7+300824,14.1948956,30.140246,J005646.77+300824.9,0.84
Obj_13747,3099098,EGIPS J192307.7-055708,290.7821534,-5.9522931,J192307.72-055708.3,0.84
Obj_6355,2598220,EGIPS J101137.4+600706,152.9059732,60.1184343,J101137.43+600706.4,0.84
Obj_5191,3341415,EGIPS J084515.9+513222,131.3165217,51.5395986,J084515.97+513222.6,0.84
Obj_2576,12828,EGIPS J032600.5+420128,51.5021705,42.0247221,J032600.52+420129.0,0.84
Obj_3650,75616,EGIPS J061742.9-010220,94.4290697,-1.0389589,J061742.98-010220.3,0.84
Obj_9745,48379,EGIPS J134029.7+425932,205.1240995,42.9924458,J134029.78+425932.8,0.84
Obj_14261,       ,EGIPS J204543.9+231022,311.4329293,23.1727914,J204543.90+231022.0,0.84
Obj_4654,979574,EGIPS J080553.8-101943,121.4743366,-10.3286429,J080553.84-101943.1,0.84
Obj_5326,25118,EGIPS J085631.9+212241,134.1329467,21.378239,J085631.91+212241.7,0.84
Obj_11086,54262,EGIPS J151202.3+014154,228.0099574,1.6985487,J151202.39+014154.8,0.84
Obj_1345,       ,EGIPS J014054.0+423701,25.2253986,42.617024,J014054.10+423701.3,0.84
Obj_14182,64999,EGIPS J203444.6+075910,308.6862122,7.9863462,J203444.69+075910.8,0.84
Obj_4193,1649690,EGIPS J072514.4+212524,111.3100927,21.4235131,J072514.42+212524.6,0.84
Obj_10704,864845,EGIPS J144410.6-184147,221.0445129,-18.6964613,J144410.68-184147.3,0.84
Obj_7087,33108,EGIPS J105938.0-153135,164.9086565,-15.5264243,J105938.08-153135.1,0.84
Obj_356,5072242,EGIPS J002728.1+234521,6.8674457,23.7560842,J002728.19+234521.9,0.84
Obj_14012,       ,EGIPS J200705.9+143909,301.7747034,14.6525004,J200705.93+143909.0,0.84
Obj_15118,198589,EGIPS J221532.8-273006,333.886776,-27.5016738,J221532.83-273006.0,0.84
Obj_9036,733957,EGIPS J125526.3-290324,193.8598417,-29.0568035,J125526.36-290324.5,0.84
Obj_900,3908,EGIPS J010611.9+253306,16.5497659,25.5517668,J010611.94+253306.4,0.84
Obj_11356,91458,EGIPS J153420.9+575711,233.5873612,57.9533028,J153420.97+575711.9,0.84
Obj_2222,10875,EGIPS J025223.3-083037,43.0974381,-8.5103846,J025223.39-083037.4,0.84
Obj_15164,95500,EGIPS J221914.2-282459,334.8093536,-28.416613,J221914.24-282459.8,0.84
Obj_41,1819666,EGIPS J000319.1+275103,0.829609,27.8509367,J000319.11+275103.4,0.84
Obj_2799,750282,EGIPS J035322.3-274531,58.3432913,-27.7587714,J035322.39-274531.6,0.84
Obj_2844,1639682,EGIPS J040111.9+205743,60.2999523,20.9620101,J040111.99+205743.2,0.84
Obj_13443,       ,EGIPS J182717.8+232531,276.8244821,23.4255031,J182717.88+232531.8,0.84
Obj_12742,91583,EGIPS J171218.0+435617,258.0751651,43.9381912,J171218.04+435617.5,0.84
Obj_10530,51958,EGIPS J143232.6+054015,218.1360652,5.6711044,J143232.66+054016.0,0.84
Obj_16297,1366780,EGIPS J235010.3+093329,357.5430979,9.5581264,J235010.34+093329.3,0.84
Obj_12751,3099063,EGIPS J171254.9-225701,258.2291516,-22.9503395,J171255.00-225701.2,0.84
Obj_8044,91153,EGIPS J115508.6-080159,178.7861938,-8.0332473,J115508.69-080159.7,0.84
Obj_15691,2404203,EGIPS J230204.5+515914,345.5191445,51.9872222,J230204.59+515914.0,0.84
Obj_1395,2182718,EGIPS J014548.1+413233,26.45061,41.542679,J014548.15+413233.6,0.84
Obj_12729,2640033,EGIPS J171047.7+623700,257.6991199,62.6168949,J171047.79+623700.8,0.84
Obj_414,2006653,EGIPS J003229.1+323913,8.121546,32.6536286,J003229.17+323913.1,0.84
Obj_10510,91365,EGIPS J143124.6+171712,217.8527177,17.286824,J143124.65+171712.6,0.84
Obj_8356,1524088,EGIPS J121400.9+170439,183.5037877,17.0777741,J121400.91+170440.0,0.84
Obj_8249,2014137,EGIPS J120734.4+325006,181.8933988,32.8351031,J120734.42+325006.4,0.84
Obj_12239,58471,EGIPS J163234.0+674447,248.1419632,67.7465979,J163234.07+674447.8,0.84
Obj_10525,1833980,EGIPS J143228.1+282230,218.1173927,28.3751071,J143228.17+282230.4,0.84
Obj_6732,91036,EGIPS J103827.9+101114,159.6162757,10.1872625,J103827.91+101114.1,0.84
Obj_8514,40284,EGIPS J122353.9-032635,185.9748411,-3.4430928,J122353.96-032635.1,0.84
Obj_1693,2173870,EGIPS J021042.6+405851,32.6775403,40.9810121,J021042.61+405851.6,0.84
Obj_7137,2713884,EGIPS J110219.5+681203,165.5813083,68.2010843,J110219.51+681203.9,0.84
Obj_6721,1667833,EGIPS J103755.3+221933,159.4807869,22.3260899,J103755.39+221933.9,0.84
Obj_13959,1246738,EGIPS J195637.2+031024,299.1552196,3.173352,J195637.25+031024.1,0.84
Obj_4142,2089732,EGIPS J072015.9+365619,110.0665305,36.9387894,J072015.97+365619.6,0.84
Obj_15942,       ,EGIPS J232138.9+123415,350.4123759,12.571014,J232138.97+123415.7,0.84
Obj_6168,28909,EGIPS J095955.3-293702,149.9807944,-29.6174602,J095955.39-293702.9,0.84
